compound_lemma	order	cosine_head	cosine_mod	cosine_0:100	cosine_100:0	cosine_50:50	cosine_isolate.mul	cosine_isolate.add	cosine_best	weight_best	freq.w1&w2	freq.w1	freq.w2	pmi.w1&w2	ppmi.w1&w2	source	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	compositionalityHead	stdevHead	compositionalityModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents	sqerr_head	sqerr_mod	sqerr_50:50	sqerr_best
activité_physique	H_M	0.3031	0.31056	0.31056	0.3031	0.37445	0.30681	0.30683	0.37451	0.48758:0.51242	13292	1436257	416682	3.41921	3.41921	N/A	activité_physique	activité/n_physique/a	activité	physique	15	4.9333	0.2582	4.9333	0.2582	4.9333	0.2582	sport(8);gymnastique(4);exercice physique(4);exercice(3);travail physique(2);travail(1);entrainement sportif(1);travail musculaire(1);exercise physique(1);exercise(1);entraînement(1);activité sportive(1);endurance physique(1);mise en forme(1);mouvements(1);éducation physique(1);entrainement physique(1)	0.1122987121	0.1098127044	0.089661319225	0.089643354025
année_scolaire	H_M	0.5353	0.64668	0.64668	0.5353	0.7233	0.58836	0.59099	0.72972	0.40538:0.59462	19681	2295010	450358	3.26528	3.26528	N/A	année_scolaire	année/n_scolaire/a	année	scolaire	15	2.6667	1.7593	4.2000	1.4243	3.6000	0.9856	année académique(4);année d'étude(2);calendrier des écoles(1);an(1);année d'école(1);année universitaire(1);début et la fin des leçons d'un niveau(1);année estudiantine(1);temps scolaire(1);rentrer des classes(1);cursus scolaire(1);année d'etude(1);saison d'études(1);année éducative(1);an de scolaire(1);période académique(1);calendrier scolaire(1);deux semestres(1);an scolaire(1);mois d'études durant une année(1);ecole(1);saison(1);an didactique(1);période scolaire(1);trois trimestres scolaires(1);année de l'école(1);calendried(1);temps d'école(1);periode scolaire(1)	0.0549011761	0.0002775556	0.0200647225	0.0209844196
art_contemporain	H_M	0.56157	0.46245	0.46245	0.56157	0.57619	0.50961	0.51201	0.58624	0.68166:0.31834	14437	725844	186516	4.98811	4.98811	N/A	art_contemporain	art/n_contemporain/a	art	contemporain	15	4.8667	0.3519	4.5333	0.8338	4.6000	0.7368	art moderne(8);art d'aujourd'hui(3);art actuel(2);moderne(1);art du xxième siècle(1);arte povera(1);nouveauté(1);mouvements artistiques post 1945(1);expression des artistes de notre époque(1);art postmoderne(1);art d'avant garde(1);peinture contemporaine(1);art qui n'est pas du passé(1);art d'un certain temps actuel(1);art nouveau(1);œuvres esthétiques modernes(1);art modern(1);kitsch(1);œuvres actuelles(1);art avance(1);actuel(1);avant garde(1);art du moment(1)	0.037077428025	0.030777439225	0.017398929025	0.0160985344
baie_vitré	H_M	0.19843	0.40217	0.40217	0.19843	0.39916	0.28249	0.3003	0.42807	0.27882:0.72118	540	6956	8926	9.3894	9.3894	N/A	baie_vitrée	baie/n_vitré/a	baie	vitrée	11	2.9091	2.0226	4.8182	0.6030	3.6364	1.6293	fenêtre(5);porte fenêtre(3);vasistas(2);large ouverture(1);lucarne(1);large ouverture dans un mur(1);patio clos(1);porte vitrée(1);embrasure(1);ébrasement(1);baie aveugle(1);ouverture(1);fenetre vitrée(1);véranda(1);grande fenêtre(1);facade vitrée(1)	0.000302586025	0.068935128025	0.00076729	0.000175430025
bas_côté	M_H	0.26764	0.13795	0.26764	0.13795	0.24543	0.19215	0.2028	0.27109	0.15589:0.84411	1259	400935	552542	2.05615	2.05615	N/A	bas_côté	bas/a_côté/n	côté	bas	13	3.4615	1.8536	0.9231	1.1152	1.3077	1.1821	accotement(6);bordure(3);bord d'une chaussée(2);bord(2);fossé bordant une route(1);fossé(1);accotements des routes(1);contre allee(1);bord d'une chaussee(1);banquette(1);bord de la route(1);bord de la chaussée(1);bande d'arret d'urgence(1);abord des routes(1);côté(1);côté de la route(1);couloir(1);sur le côté de la chaussée(1);petit bâtiment(1)	0.0034199104	0.147728766025	0.130447380625	0.139879740025
beau_frère	M_H	0.52255	0.1903	0.52255	0.1903	0.42731	0.31534	0.35642	0.52255	0:1	2077	876003	187419	2.85637	2.85637	N/A	beau_frère	beau/a_frère/n	frère	beau	12	2.0833	1.8809	0.1667	0.3892	0.6667	1.1547	frère du conjoint(5);mari de la soeur(4);frère de l'époux(2);demi frère(2);beauf(2);frère de la femme(2);frère(1);enfant de mêmes parents(1);frère non biologique(1);mari de ma belle soeur(1);mari de la belle soeur(1);frère de l'épouse(1);frère d'un membre du couple(1);ami(1);mari del la soeur(1);frère par alliance(1);famille(1)	0.118759498225	0.3156304761	0.336765499225	0.394302364225
beau_père	M_H	0.53254	0.23971	0.53254	0.23971	0.46701	0.35729	0.38612	0.53465	0.090402:0.9096	2413	876003	342475	2.40347	2.40347	N/A	beau_père	beau/a_père/n	père	beau	11	2.7273	1.9022	0.2727	0.6467	1.1818	1.1677	parâtre(5);père du conjoint(4);père de l'époux(2);nouveau mari de la mère(2);père(1);parent(1);pere de son compagnon(1);parent non biologique(1);père de l'épouse(1);père par alliance(1);mari de sa mere(1);pere du conjoint(1);père adoptif(1);conjoint d'un parent(1);nouvel époux de la mere(1);pas le père maternel(1);mari de la mère(1)	0.0487570561	0.319581049225	0.247153151025	0.281923831225
beau_mère	M_H	0.51813	0.31068	0.51813	0.31068	0.5064	0.40122	0.41441	0.5376	0.24629:0.75371	2750	876003	247483	2.85905	2.85905	N/A	belle_mère	beau/a_mère/n	mère	belle	15	2.6000	1.9198	0.4667	0.7432	0.8000	1.0823	nouvelle femme du père(3);mère du conjoint(3);mère du mari(2);belle doche(2);mère adoptive(2);belle maman(2);mère de l'épouse(1);seconde femme du père(1);ma belle deuche ( argot)(1);mère de la femme(1);mère dans la loi(1);seconde femme du pere(1);marâtre(1);famille(1);parent adoptif(1);pas la mere biologique(1);mére du mari(1);parent(1);parent non biologique(1);seconde mere(1);mère de sa femme/mari(1);belle mère(1);mere de l'epoux(1);mère(1)	0.057152074225	0.315844	0.35188624	0.37063744
berger_allemand	H_M	0.36166	0.04202	0.04202	0.36166	0.27092	0.12328	0.20184	0.36167	0.99393:0.0060726	5663	46507	255605	6.48488	6.48488	N/A	berger_allemand	berger/n_allemand/a	berger	allemand	14	1.7143	1.6838	1.6429	1.3363	1.2857	1.2666	chien(6);chien loup(5);berger alsacien(4);chien de garde(3);berger d'alsace(3);chien de berger(2);chien policier(2);chiot(1);chien de race(1);chien de race pure(1);race(1);chien de bergee(1);grand chien courreur(1)	0.1142237209	0.0370293049	0.1431260224	0.179517453025
bon_sens	M_H	0.19971	0.26302	0.19971	0.26302	0.26969	0.22919	0.23137	0.27664	0.69067:0.30933	17607	2252484	46904	5.43457	5.43457	N/A	bon_sens	bon/a_sens/n	sens	bon	14	3.6429	1.4991	3.9286	1.4392	3.5714	1.4525	sens commun(7);raison(7);sagesse(4);logique(3);discernement(2);pragmatisme(1);jugement bienfondé(1);droiture(1);intelligence(1);judicieux(1);principe(1);respect(1);bon gout(1);opinion commune(1)	0.016570125625	0.0237807241	0.006309919225	0.0057699216
bon_vent	M_H	0.28306	0.28843	0.28306	0.28843	0.37482	0.28573	0.28574	0.37484	0.50652:0.49348	2056	2252484	181586	1.93341	1.93341	N/A	bon_vent	bon/a_vent/n	vent	bon	15	0.8000	1.1464	3.2667	1.9074	0.8667	1.1872	bonne chance(9);bonne route(6);bon voyage(5);bon courage(4);au revoir(4);bon départ(1);adieu(1);bonne continuation(1);bon débarras(1);succès(1);souhait de succès(1)	0.2318711409	8.3265625e-05	0.2642679649	0.2642782464
bon_vivant	M_H	0.06835	0.17023	0.06835	0.17023	0.1803	0.10787	0.11929	0.19267	0.66621:0.33379	790	2252484	237176	0.70985	0.70985	N/A	bon_vivant	bon/a_vivant/n	vivant	bon	14	4.0714	1.2067	2.4286	1.1579	2.5714	1.2839	gourmand(3);fêtard(3);gastronome(2);gai luron(2);commode(2);vif(1);epicurien(1);heureux(1);boute en train(1);bec fin(1);joyeux drille(1);amical(1);épicurien(1);jovial(1);plaisant(1);gros mangeur(1);bonne humeur(1);festif(1);aime la vie(1);profite(1);jouisseur(1);joyeux compagnon(1);paresseux(1);joyeux(1)	0.078458811025	0.009879366025	0.0057562569	0.006733023025
